"","x"
"1",125
"2",290.84375
"3",554.642714658266
"4",906.819386708598
"5",1250.49904719199
"6",1597.79526411294
"7",1955.95412122541
"8",2313.46841343817
"9",2672.75866711988
"10",3032.18893697897
"11",3399.26593093136
"12",3773.69799726044
"13",4152.42069077735
"14",4542.12276055347
"15",4944.65972526682
"16",5352.83793574471
"17",5764.30190094999
"18",6178.17755740028
"19",6593.97214270414
"20",7011.17567384919
"21",7429.64428326085
"22",7849.10186474664
"23",8269.43162324868
"24",8690.47769853361
